Individual name,Song name,Syllable Number,Element Number,Peak frequency Mean,Peak frequency Variance,Peak frequency Maximum,Peak frequency Minimum
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,1,1,868.6296,69811.04,1679.59,473.7305
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,2,2,523.5029,28159.59,882.8613,301.4648
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,3,3,430.2276,2154.18,559.8633,322.998
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,4,4,415.86,651.3032,452.1973,344.5313
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,5,5,435.2381,21613.81,775.1953,129.1992
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,6,6,871.7147,10591.76,1098.193,667.5293
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,7,7,603.4344,13906.47,796.7285,387.5977
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,8,8,408.5857,1093.505,452.1973,344.5313
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,9,9,413.7043,268.6963,452.1973,387.5977
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,10,10,846.3661,2819.614,1033.594,689.0625
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,11,11,712.0103,6847.475,861.3281,473.7305
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,12,12,843.1653,7047.038,1205.859,689.0625
Amazona-auropalliata-664,Amazona-auropalliata-664.wav,13,13,796.4893,828.3122,839.7949,710.5957
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,1,1,1094.07,227706.7,2196.387,516.7969
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,2,2,1360.104,259293.3,2196.387,904.3945
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,3,3,1360.848,196332.1,2196.387,689.0625
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,4,4,1268.974,381472.4,2325.586,559.8633
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,5,5,1510.575,247178.7,2282.52,990.5273
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,6,6,1619.454,250730.6,2325.586,904.3945
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,7,7,1378.125,233096.6,2239.453,775.1953
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,8,8,1068.228,111995,1981.055,732.1289
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,9,9,696.0462,43815.85,1205.859,495.2637
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,10,10,468.2905,10644.57,624.4629,215.332
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,11,11,487.3682,13611.2,667.5293,215.332
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,12,12,544.1073,4475.066,667.5293,452.1973
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,13,13,458.9443,3031.879,624.4629,322.998
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,14,14,637.8074,16458.83,925.9277,495.2637
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,15,15,466.1378,7861.013,1119.727,215.332
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,16,16,536.0288,10559.41,882.8613,430.6641
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,17,17,505.0364,5004.22,753.6621,387.5977
Amazona-ochrocephala,Amazona-ochrocephala-12092.wav,18,18,536.3336,8496.766,839.7949,430.6641
