Species	f0_mean	f0_max	f0_min
Nestor_meridionalis	1007.146	1209.304688	795.8671875
Cyanoliseus_patagonus	1191.3443	1380.7225	932.21705
Touit_batavicus	1263.453	1404.443359	973.779269
Psilopsiagon_aurifrons	1724.721	2355.253906	1458.515625
Rhynchopsitta_pachyrhyncha	683.8845	856.7465924	422.4173039
Touit_melanonotus	2319.958	3249.556108	1184.326172
Pyrrhura_calliptera	1824.043	2146.336571	1401.404139
Triclaria_malachitacea	2512.696	2687.011719	2220.996094
Nannopsittaca_panychlora	2304.122	2731.933594	1920.410156
Leptosittaca_branickii	871.8993	1027.441406	566.015625
Guarouba_guarouba	1200.987	1380.996094	941.71875
Graydidascalus_brachyurus	1781.467	2108.459473	1387.097168
Forpus_spengeli	4571.779	5451.492537	3384.794776
Bolborhynchus_lineola	1592.984	2023.706897	1215.625
Ara_macao	907.4517	1144.848633	667.5292969
Anodorhynchus_hyacinthinus	640.9537	739.3066406	534.7412109
Amazona_ochrocephala	778.0479	1290.472197	448.9039522
Amazona_auropalliata	628.3791	853.0461238	455.5100661
